condition_id,condition_name,regimen_id,source_id
152,acute promyelocytic leukemia,796,1
153,acute promyelocytic leukemia,797,1
154,acute promyelocytic leukemia,869,1
155,acute promyelocytic leukemia,1326,1
156,acute promyelocytic leukemia,1327,1
157,acute promyelocytic leukemia,1546,1
158,acute promyelocytic leukemia,1958,1
159,adrenocortical carcinoma,570,1
160,adrenocortical carcinoma,973,1
161,adrenocortical carcinoma,1586,1
162,adrenocortical carcinoma,1587,1
163,adrenocortical carcinoma,1588,1
164,adult t-cell leukemia-lymphoma,97,1
165,adult t-cell leukemia-lymphoma,520,1
166,adult t-cell leukemia-lymphoma,1365,1
167,adult t-cell leukemia-lymphoma,1454,1
168,adult t-cell leukemia-lymphoma,1492,1
169,adult t-cell leukemia-lymphoma,1595,1
170,adult t-cell leukemia-lymphoma,2071,1
171,allogeneic hsct,1,1
172,allogeneic hsct,214,1
173,allogeneic hsct,242,1
174,allogeneic hsct,288,1
175,allogeneic hsct,289,1
176,allogeneic hsct,290,1
177,allogeneic hsct,293,1
178,allogeneic hsct,294,1
179,allogeneic hsct,296,1
180,allogeneic hsct,543,1
181,allogeneic hsct,627,1
182,allogeneic hsct,761,1
183,allogeneic hsct,776,1
184,allogeneic hsct,1071,1
185,allogeneic hsct,1112,1
186,allogeneic hsct,1116,1
187,allogeneic hsct,1142,1
188,allogeneic hsct,1146,1
189,allogeneic hsct,1147,1
190,allogeneic hsct,1150,1
191,allogeneic hsct,1151,1
192,allogeneic hsct,2011,1
193,alveolar soft part sarcoma,148,1
194,anal cancer,338,1
195,anal cancer,361,1
196,anal cancer,543,1
197,anal cancer,549,1
198,anal cancer,1166,1
199,anal cancer,1527,1
200,anal cancer,1661,1
201,anal cancer,1748,1
202,anaplastic glioma,239,1
203,anaplastic glioma,379,1
204,anaplastic glioma,457,1
205,anaplastic glioma,764,1
206,anaplastic glioma,1073,1
207,anaplastic glioma,1392,1
208,anaplastic glioma,1397,1
209,anaplastic glioma,1737,1
210,anaplastic glioma,1884,1
211,anaplastic glioma,1885,1
212,anaplastic glioma,1983,1
213,anaplastic glioma,1984,1
214,anaplastic glioma,1986,1
215,anaplastic glioma,1987,1
216,anaplastic large cell lymphoma,281,1
217,anaplastic large cell lymphoma,299,1
218,anaplastic large cell lymphoma,515,1
219,anaplastic large cell lymphoma,516,1
220,anaplastic large cell lymphoma,825,1
221,anaplastic large cell lymphoma,928,1
222,anaplastic large cell lymphoma,1150,1
223,anaplastic large cell lymphoma,1230,1
224,anaplastic large cell lymphoma pediatric,125,1
225,anaplastic large cell lymphoma pediatric,696,1
226,anaplastic large cell lymphoma pediatric,731,1
227,anaplastic large cell lymphoma pediatric,1027,1
228,angiosarcoma,239,1
229,angiosarcoma,338,1
230,angiosarcoma,1729,1
231,antiphospholipid antibody syndrome,144,1
232,antiphospholipid antibody syndrome,1878,1
233,antiphospholipid antibody syndrome,1879,1
234,antiphospholipid antibody syndrome,2145,1
235,aplastic anemia,149,1
236,aplastic anemia,151,1
237,aplastic anemia,152,1
238,aplastic anemia,153,1
239,aplastic anemia,154,1
240,aplastic anemia,783,1
241,aplastic anemia,1034,1
242,atypical hemolytic uremic syndrome,1019,1
243,atypical hemolytic uremic syndrome,1867,1
244,autoimmune cytopenia,97,1
245,autoimmune cytopenia,1915,1
246,autologous hsct,206,1
247,autologous hsct,211,1
248,autologous hsct,214,1
249,autologous hsct,215,1
250,autologous hsct,269,1
251,autologous hsct,285,1
252,autologous hsct,286,1
253,autologous hsct,289,1
254,autologous hsct,291,1
255,autologous hsct,338,1
256,autologous hsct,463,1
257,autologous hsct,464,1
258,autologous hsct,524,1
259,autologous hsct,734,1
260,autologous hsct,761,1
261,autologous hsct,775,1
262,autologous hsct,1071,1
263,autologous hsct,1118,1
264,autologous hsct,1448,1
265,autologous hsct,1490,1
266,autologous hsct,1858,1
267,autologous hsct,1957,1
268,autologous hsct,2048,1
269,autologous hsct,2147,1
270,b-cell acute lymphoblastic leukemia,18,1
271,b-cell acute lymphoblastic leukemia,24,1
272,b-cell acute lymphoblastic leukemia,163,1
273,b-cell acute lymphoblastic leukemia,203,1
274,b-cell acute lymphoblastic leukemia,259,1
275,b-cell acute lymphoblastic leukemia,272,1
276,b-cell acute lymphoblastic leukemia,277,1
277,b-cell acute lymphoblastic leukemia,282,1
278,b-cell acute lymphoblastic leukemia,323,1
279,b-cell acute lymphoblastic leukemia,324,1
280,b-cell acute lymphoblastic leukemia,629,1
281,b-cell acute lymphoblastic leukemia,761,1
282,b-cell acute lymphoblastic leukemia,765,1
283,b-cell acute lymphoblastic leukemia,768,1
284,b-cell acute lymphoblastic leukemia,769,1
285,b-cell acute lymphoblastic leukemia,770,1
286,b-cell acute lymphoblastic leukemia,771,1
287,b-cell acute lymphoblastic leukemia,772,1
288,b-cell acute lymphoblastic leukemia,777,1
289,b-cell acute lymphoblastic leukemia,794,1
290,b-cell acute lymphoblastic leukemia,802,1
291,b-cell acute lymphoblastic leukemia,809,1
292,b-cell acute lymphoblastic leukemia,810,1
293,b-cell acute lymphoblastic leukemia,860,1
294,b-cell acute lymphoblastic leukemia,861,1
295,b-cell acute lymphoblastic leukemia,862,1
296,b-cell acute lymphoblastic leukemia,863,1
297,b-cell acute lymphoblastic leukemia,871,1
298,b-cell acute lymphoblastic leukemia,872,1
299,b-cell acute lymphoblastic leukemia,873,1
300,b-cell acute lymphoblastic leukemia,877,1
301,b-cell acute lymphoblastic leukemia,956,1
302,b-cell acute lymphoblastic leukemia,1072,1
303,b-cell acute lymphoblastic leukemia,1132,1
304,b-cell acute lymphoblastic leukemia,1279,1
305,b-cell acute lymphoblastic leukemia,1304,1
306,b-cell acute lymphoblastic leukemia,1305,1
307,b-cell acute lymphoblastic leukemia,1306,1
308,b-cell acute lymphoblastic leukemia,1307,1
309,b-cell acute lymphoblastic leukemia,1308,1
310,b-cell acute lymphoblastic leukemia,1325,1
311,b-cell acute lymphoblastic leukemia,1353,1
312,b-cell acute lymphoblastic leukemia,1354,1
313,b-cell acute lymphoblastic leukemia,1355,1
314,b-cell acute lymphoblastic leukemia,1356,1
315,b-cell acute lymphoblastic leukemia,1359,1
316,b-cell acute lymphoblastic leukemia,1370,1
317,b-cell acute lymphoblastic leukemia,1425,1
318,b-cell acute lymphoblastic leukemia,1429,1
319,b-cell acute lymphoblastic leukemia,1470,1
320,b-cell acute lymphoblastic leukemia,1490,1
321,b-cell acute lymphoblastic leukemia,1546,1
322,b-cell acute lymphoblastic leukemia,1552,1
323,b-cell acute lymphoblastic leukemia,1553,1
324,b-cell acute lymphoblastic leukemia,1554,1
325,b-cell acute lymphoblastic leukemia,1556,1
326,b-cell acute lymphoblastic leukemia,1580,1
327,b-cell acute lymphoblastic leukemia,1652,1
328,b-cell acute lymphoblastic leukemia,1653,1
329,b-cell acute lymphoblastic leukemia,1739,1
330,b-cell acute lymphoblastic leukemia,1755,1
331,b-cell acute lymphoblastic leukemia,1789,1
332,b-cell acute lymphoblastic leukemia,1790,1
333,b-cell acute lymphoblastic leukemia,1791,1
334,b-cell acute lymphoblastic leukemia,1792,1
335,b-cell acute lymphoblastic leukemia,1796,1
336,b-cell acute lymphoblastic leukemia,1798,1
337,b-cell acute lymphoblastic leukemia,1845,1
338,b-cell acute lymphoblastic leukemia,2006,1
339,b-cell acute lymphoblastic leukemia,2105,1
340,b-cell acute lymphoblastic leukemia pediatric,24,1
341,b-cell acute lymphoblastic leukemia pediatric,25,1
342,b-cell acute lymphoblastic leukemia pediatric,259,1
343,b-cell acute lymphoblastic leukemia pediatric,272,1
344,b-cell acute lymphoblastic leukemia pediatric,321,1
345,b-cell acute lymphoblastic leukemia pediatric,466,1
346,b-cell acute lymphoblastic leukemia pediatric,629,1
347,b-cell acute lymphoblastic leukemia pediatric,662,1
348,b-cell acute lymphoblastic leukemia pediatric,663,1
349,b-cell acute lymphoblastic leukemia pediatric,664,1
350,b-cell acute lymphoblastic leukemia pediatric,665,1
351,b-cell acute lymphoblastic leukemia pediatric,666,1
352,b-cell acute lymphoblastic leukemia pediatric,667,1
353,b-cell acute lymphoblastic leukemia pediatric,710,1
354,b-cell acute lymphoblastic leukemia pediatric,761,1
355,b-cell acute lymphoblastic leukemia pediatric,764,1
356,b-cell acute lymphoblastic leukemia pediatric,774,1
357,b-cell acute lymphoblastic leukemia pediatric,804,1
358,b-cell acute lymphoblastic leukemia pediatric,805,1
359,b-cell acute lymphoblastic leukemia pediatric,867,1
360,b-cell acute lymphoblastic leukemia pediatric,872,1
361,b-cell acute lymphoblastic leukemia pediatric,873,1
362,b-cell acute lymphoblastic leukemia pediatric,874,1
363,b-cell acute lymphoblastic leukemia pediatric,875,1
364,b-cell acute lymphoblastic leukemia pediatric,876,1
365,b-cell acute lymphoblastic leukemia pediatric,956,1
366,b-cell acute lymphoblastic leukemia pediatric,975,1
367,b-cell acute lymphoblastic leukemia pediatric,977,1
368,b-cell acute lymphoblastic leukemia pediatric,978,1
369,b-cell acute lymphoblastic leukemia pediatric,979,1
370,b-cell acute lymphoblastic leukemia pediatric,980,1
371,b-cell acute lymphoblastic leukemia pediatric,1072,1
372,b-cell acute lymphoblastic leukemia pediatric,1074,1
373,b-cell acute lymphoblastic leukemia pediatric,1359,1
374,b-cell acute lymphoblastic leukemia pediatric,1427,1
375,b-cell acute lymphoblastic leukemia pediatric,1428,1
376,b-cell acute lymphoblastic leukemia pediatric,1429,1
377,b-cell acute lymphoblastic leukemia pediatric,1546,1
378,b-cell acute lymphoblastic leukemia pediatric,1547,1
379,b-cell acute lymphoblastic leukemia pediatric,1548,1
380,b-cell acute lymphoblastic leukemia pediatric,1552,1
381,b-cell acute lymphoblastic leukemia pediatric,1561,1
382,b-cell acute lymphoblastic leukemia pediatric,1562,1
383,b-cell acute lymphoblastic leukemia pediatric,1566,1
384,b-cell acute lymphoblastic leukemia pediatric,1593,1
385,b-cell acute lymphoblastic leukemia pediatric,1594,1
386,b-cell acute lymphoblastic leukemia pediatric,1741,1
387,b-cell acute lymphoblastic leukemia pediatric,1798,1
388,b-cell acute lymphoblastic leukemia pediatric,2006,1
389,beta thalassemia,1494,1
390,bladder cancer,148,1
391,bladder cancer,169,1
392,bladder cancer,203,1
393,bladder cancer,338,1
394,bladder cancer,391,1
395,bladder cancer,392,1
396,bladder cancer,396,1
397,bladder cancer,415,1
398,bladder cancer,531,1
399,bladder cancer,549,1
400,bladder cancer,556,1
401,bladder cancer,563,1
402,bladder cancer,568,1
403,bladder cancer,573,1
404,bladder cancer,577,1
405,bladder cancer,944,1
406,bladder cancer,988,1
407,bladder cancer,989,1
408,bladder cancer,1039,1
409,bladder cancer,1040,1
410,bladder cancer,1056,1
411,bladder cancer,1166,1
412,bladder cancer,1244,1
413,bladder cancer,1249,1
414,bladder cancer,1374,1
415,bladder cancer,1375,1
416,bladder cancer,1376,1
417,bladder cancer,1377,1
418,bladder cancer,1378,1
419,bladder cancer,1526,1
420,bladder cancer,1624,1
421,bladder cancer,1625,1
422,bladder cancer,1627,1
423,bladder cancer,1639,1
424,bladder cancer,1643,1
425,bladder cancer,1661,1
426,bladder cancer,1714,1
427,bladder cancer,1748,1
428,bladder cancer,1750,1
429,bladder cancer,1767,1
430,bladder cancer,1895,1
431,bladder cancer,2007,1
432,bladder cancer,2019,1
433,bladder cancer,2108,1
434,blastic plasmacytoid dendritic cell neoplasm,1951,1
435,braf,828,1
436,braf,2093,1
437,breast cancer,7,1
438,breast cancer,23,1
439,breast cancer,33,1
440,breast cancer,34,1
441,breast cancer,35,1
442,breast cancer,36,1
443,breast cancer,37,1
444,breast cancer,49,1
445,breast cancer,50,1
446,breast cancer,51,1
447,breast cancer,52,1
448,breast cancer,53,1
449,breast cancer,54,1
450,breast cancer,55,1
451,breast cancer,56,1
452,breast cancer,57,1
453,breast cancer,62,1
454,breast cancer,66,1
455,breast cancer,100,1
456,breast cancer,103,1
457,breast cancer,111,1
458,breast cancer,112,1
459,breast cancer,113,1
460,breast cancer,114,1
461,breast cancer,115,1
462,breast cancer,116,1
463,breast cancer,117,1
464,breast cancer,118,1
465,breast cancer,146,1
466,breast cancer,167,1
467,breast cancer,239,1
468,breast cancer,275,1
469,breast cancer,318,1
470,breast cancer,320,1
471,breast cancer,325,1
472,breast cancer,326,1
473,breast cancer,331,1
474,breast cancer,338,1
475,breast cancer,340,1
476,breast cancer,342,1
477,breast cancer,343,1
478,breast cancer,344,1
479,breast cancer,346,1
480,breast cancer,348,1
481,breast cancer,349,1
482,breast cancer,352,1
483,breast cancer,353,1
484,breast cancer,354,1
485,breast cancer,355,1
486,breast cancer,356,1
487,breast cancer,376,1
488,breast cancer,383,1
489,breast cancer,384,1
490,breast cancer,391,1
491,breast cancer,396,1
492,breast cancer,400,1
493,breast cancer,403,1
494,breast cancer,417,1
495,breast cancer,424,1
496,breast cancer,459,1
497,breast cancer,474,1
498,breast cancer,491,1
499,breast cancer,492,1
500,breast cancer,506,1
501,breast cancer,524,1
502,breast cancer,534,1
503,breast cancer,543,1
504,breast cancer,577,1
505,breast cancer,633,1
506,breast cancer,634,1
507,breast cancer,635,1
508,breast cancer,637,1
509,breast cancer,639,1
510,breast cancer,641,1
511,breast cancer,643,1
512,breast cancer,644,1
513,breast cancer,646,1
514,breast cancer,722,1
515,breast cancer,723,1
516,breast cancer,724,1
517,breast cancer,725,1
518,breast cancer,726,1
519,breast cancer,734,1
520,breast cancer,739,1
521,breast cancer,752,1
522,breast cancer,753,1
523,breast cancer,754,1
524,breast cancer,758,1
525,breast cancer,759,1
526,breast cancer,764,1
527,breast cancer,816,1
528,breast cancer,817,1
529,breast cancer,818,1
530,breast cancer,819,1
531,breast cancer,820,1
532,breast cancer,864,1
533,breast cancer,889,1
534,breast cancer,890,1
535,breast cancer,891,1
536,breast cancer,892,1
537,breast cancer,893,1
538,breast cancer,894,1
539,breast cancer,895,1
540,breast cancer,896,1
541,breast cancer,897,1
542,breast cancer,898,1
543,breast cancer,899,1
544,breast cancer,900,1
545,breast cancer,901,1
546,breast cancer,902,1
547,breast cancer,905,1
548,breast cancer,906,1
549,breast cancer,917,1
550,breast cancer,930,1
551,breast cancer,935,1
552,breast cancer,937,1
553,breast cancer,947,1
554,breast cancer,959,1
555,breast cancer,960,1
556,breast cancer,961,1
557,breast cancer,964,1
558,breast cancer,973,1
559,breast cancer,995,1
560,breast cancer,996,1
561,breast cancer,998,1
562,breast cancer,1005,1
563,breast cancer,1006,1
564,breast cancer,1007,1
565,breast cancer,1008,1
566,breast cancer,1009,1
567,breast cancer,1010,1
568,breast cancer,1011,1
569,breast cancer,1014,1
570,breast cancer,1015,1
571,breast cancer,1021,1
572,breast cancer,1025,1
573,breast cancer,1028,1
574,breast cancer,1046,1
575,breast cancer,1049,1
576,breast cancer,1053,1
577,breast cancer,1054,1
578,breast cancer,1057,1
579,breast cancer,1058,1
580,breast cancer,1059,1
581,breast cancer,1068,1
582,breast cancer,1080,1
583,breast cancer,1084,1
584,breast cancer,1086,1
585,breast cancer,1087,1
586,breast cancer,1088,1
587,breast cancer,1089,1
588,breast cancer,1090,1
589,breast cancer,1091,1
590,breast cancer,1095,1
591,breast cancer,1096,1
592,breast cancer,1097,1
593,breast cancer,1100,1
594,breast cancer,1101,1
595,breast cancer,1102,1
596,breast cancer,1103,1
597,breast cancer,1119,1
598,breast cancer,1120,1
599,breast cancer,1121,1
600,breast cancer,1122,1
601,breast cancer,1123,1
602,breast cancer,1124,1
603,breast cancer,1125,1
604,breast cancer,1126,1
605,breast cancer,1156,1
606,breast cancer,1163,1
607,breast cancer,1170,1
608,breast cancer,1171,1
609,breast cancer,1179,1
610,breast cancer,1200,1
611,breast cancer,1216,1
612,breast cancer,1217,1
613,breast cancer,1218,1
614,breast cancer,1237,1
615,breast cancer,1239,1
616,breast cancer,1247,1
617,breast cancer,1249,1
618,breast cancer,1259,1
619,breast cancer,1266,1
620,breast cancer,1268,1
621,breast cancer,1269,1
622,breast cancer,1270,1
623,breast cancer,1271,1
624,breast cancer,1328,1
625,breast cancer,1329,1
626,breast cancer,1411,1
627,breast cancer,1438,1
628,breast cancer,1439,1
629,breast cancer,1440,1
630,breast cancer,1441,1
631,breast cancer,1442,1
632,breast cancer,1460,1
633,breast cancer,1461,1
634,breast cancer,1462,1
635,breast cancer,1463,1
636,breast cancer,1464,1
637,breast cancer,1465,1
638,breast cancer,1466,1
639,breast cancer,1468,1
640,breast cancer,1532,1
641,breast cancer,1535,1
642,breast cancer,1584,1
643,breast cancer,1591,1
644,breast cancer,1592,1
645,breast cancer,1596,1
646,breast cancer,1635,1
647,breast cancer,1636,1
648,breast cancer,1637,1
649,breast cancer,1638,1
650,breast cancer,1639,1
651,breast cancer,1640,1
652,breast cancer,1648,1
653,breast cancer,1649,1
654,breast cancer,1650,1
655,breast cancer,1663,1
656,breast cancer,1664,1
657,breast cancer,1668,1
658,breast cancer,1669,1
659,breast cancer,1670,1
660,breast cancer,1671,1
661,breast cancer,1690,1
662,breast cancer,1710,1
663,breast cancer,1712,1
664,breast cancer,1716,1
665,breast cancer,1717,1
666,breast cancer,1718,1
667,breast cancer,1722,1
668,breast cancer,1744,1
669,breast cancer,1746,1
670,breast cancer,1748,1
671,breast cancer,1750,1
672,breast cancer,1758,1
673,breast cancer,1759,1
674,breast cancer,1760,1
675,breast cancer,1761,1
676,breast cancer,1766,1
677,breast cancer,1894,1
678,breast cancer,1895,1
679,breast cancer,1928,1
680,breast cancer,1939,1
681,breast cancer,1942,1
682,breast cancer,1943,1
683,breast cancer,1944,1
684,breast cancer,1945,1
685,breast cancer,1946,1
686,breast cancer,1947,1
687,breast cancer,1952,1
688,breast cancer,1959,1
689,breast cancer,1960,1
690,breast cancer,1961,1
691,breast cancer,1962,1
692,breast cancer,1963,1
693,breast cancer,1964,1
694,breast cancer,1965,1
695,breast cancer,1972,1
696,breast cancer,1973,1
697,breast cancer,1993,1
698,breast cancer,1994,1
699,breast cancer,1995,1
700,breast cancer,1996,1
701,breast cancer,2001,1
702,breast cancer,2002,1
703,breast cancer,2003,1
704,breast cancer,2012,1
705,breast cancer,2017,1
706,breast cancer,2018,1
707,breast cancer,2028,1
708,breast cancer,2029,1
709,breast cancer,2030,1
710,breast cancer,2031,1
711,breast cancer,2032,1
712,breast cancer,2043,1
713,breast cancer,2049,1
714,breast cancer,2075,1
715,breast cancer,2099,1
716,breast cancer,2100,1
717,breast cancer,2109,1
718,breast cancer,2110,1
719,breast cancer,2111,1
720,breast cancer,2112,1
721,breast cancer,2146,1
722,burkitt lymphoma,194,1
723,burkitt lymphoma,322,1
724,burkitt lymphoma,338,1
725,burkitt lymphoma,655,1
726,burkitt lymphoma,656,1
727,burkitt lymphoma,712,1
728,burkitt lymphoma,714,1
729,burkitt lymphoma,715,1
730,burkitt lymphoma,746,1
731,burkitt lymphoma,791,1
732,burkitt lymphoma,799,1
733,burkitt lymphoma,826,1
734,burkitt lymphoma,1265,1
735,burkitt lymphoma,1825,1
736,burkitt lymphoma,1826,1
737,burkitt lymphoma,1827,1
738,burkitt lymphoma,1845,1
739,carcinoma of unknown primary,232,1
740,carcinoma of unknown primary,338,1
741,carcinoma of unknown primary,383,1
742,carcinoma of unknown primary,391,1
743,carcinoma of unknown primary,395,1
744,carcinoma of unknown primary,399,1
745,carcinoma of unknown primary,577,1
746,carcinoma of unknown primary,884,1
747,carcinoma of unknown primary,937,1
748,carcinoma of unknown primary,1060,1
749,carcinoma of unknown primary,1238,1
750,carcinoma of unknown primary,1661,1
751,carcinoma of unknown primary,1732,1
752,carcinoma of unknown primary,1733,1
753,castleman disease,110,1
754,castleman disease,275,1
755,castleman disease,783,1
756,castleman disease,1878,1
757,castleman disease,1907,1
758,castleman disease,1915,1
759,castleman disease,1974,1
760,castleman disease,2014,1
761,cellular therapy conditioning regimens,230,1
762,cellular therapy conditioning regimens,543,1
763,cellular therapy conditioning regimens,773,1
764,cellular therapy conditioning regimens,791,1
765,cervical cancer,30,1
