anchor_drug_id,anchor_drug_name
244,aloe vera flower extract
245,aloe vera leaf extract
246,aloe vera leaf polysaccharides
247,alogliptin
248,aloglutamol
249,alosetron
250,aloxiprin
251,alpelisib
252,alpha 1-antitrypsin
253,alpha tocopherol
254,alpha-amylase
255,alpha-arbutin
256,alpha-d-galactosidase enzyme
257,alpha-d-glucopyranose
258,alpha-ketoglutaric acid
259,alpha-pinene
260,alpha-terpineol
261,alpha-tocopheryloxyacetate
262,alpha-tocopherylquinone
263,alphaprodine
264,alpinia officinarum leaf extract
265,alprazolam
266,alprenolol
267,alprostadil
268,alseroxylon
269,alteplase
270,althiazide
271,altrenogest
272,altretamine
273,"alum, potassium"
274,aluminum
275,aluminum acetate
276,aluminum cation
277,aluminum chloride
278,aluminum chlorohydrate
279,aluminum chlorohydrex propylene glycol
280,aluminum hydroxide
281,aluminum hydroxide / magnesium carbonate
282,aluminum magnesium silicate
283,aluminum oxide
284,aluminum phosphate
285,aluminum potassium sulfate
286,aluminum sesquichlorohydrate
287,aluminum silicate
288,aluminum stearate
289,aluminum subacetate
290,aluminum sulfate
291,aluminum sulfate / calcium acetate
292,aluminum zirconium octachlorohydrex gly
293,aluminum zirconium pentachlorohydrate
294,aluminum zirconium pentachlorohydrex gly
295,aluminum zirconium tetrachlorohydrex gly
296,aluminum zirconium trichlorohydrex gly
297,alverine
298,alvimopan
299,amantadine
300,amaranthus hybridus pollen extract
301,ambenonium
302,amber
303,ambrisentan
304,ambroxol
305,amcinonide
306,amdinocillin
307,amdinocillin pivoxil
308,american basswood pollen extract
309,american cockroach allergenic extract
310,american elm pollen extract
311,amifampridine
312,amifostine
313,amikacin
314,amiloride
315,amiloride / hydrochlorothiazide / timolol
316,amiloxate
317,aminacrine
318,aminaphthone
319,amino methacrylate copolymer
320,aminobenzoate
321,aminoglutethimide
322,aminolevulinate
323,aminolevulinic acid
324,aminometradine
325,aminopentamide
326,aminophylline
327,aminopromazine
328,aminopropazine fumarate
329,aminopterin
330,aminopyrine
331,aminoquinuride
332,aminosalicylic acid
333,amiodarone
334,amisulpride
335,amitraz
336,amitriptyline
337,amivantamab
338,amlexanox
339,amlodipine
340,amlodipine / benazepril
341,amlodipine / olmesartan
342,ammonia
343,ammonio methacrylate copolymer type a
344,ammonium benzoate
345,ammonium bromide
346,ammonium carbonate
347,ammonium chloride
348,ammonium salicylate
349,ammonium valerate
350,amobarbital
351,amodiaquine
352,amonafide
353,amoproxan
354,amorolfine
355,amosulalol
356,amoxapine
357,amoxicillin
358,amphetamine
359,amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate
360,amphotericin b
361,ampicillin
362,amprenavir
363,amprolium
364,amsacrine
365,amygdalin
366,amyl acetate
367,amyl cinnamal
368,amyl nitrite
369,amylmetacresol
370,amylocaine
371,amylopectin
372,anacardium occidentale fruit extract
373,anacaulase
374,anagrelide
375,anakinra
376,anastrozole
377,ancestim
378,ancrod
379,andexanet alfa
380,androstenedione
381,anethole
382,anethole trithione
383,angelica archangelica root extract
384,angelica dahurica root extract
385,angelica sinensis root extract
386,angiotensin ii
387,anhydrovitamin a
388,anidulafungin
389,anifrolumab
390,anileridine
391,aniline
392,aniracetam
393,anise oil
394,anisindione
395,anisotropine
396,anistreplase
397,annual bluegrass pollen extract
398,ansuvimab
399,antazoline
400,anthralin
401,anti-inhibitor coagulant complex
402,"antihemophilic factor (recombinant), fc-vwf-xten fusion protein"
403,antimony
404,antimony cation (5+)
405,antimony pentasulfide
406,antimony potassium tartrate
407,antimony triiodide
408,antimony trisulfide
409,antipyrine
410,antithrombin iii
411,apalutamide
412,apazone
413,apigenin
414,apixaban
415,apomorphine
416,apple cider vinegar
417,apple fruit oil
418,apple pectin
419,apraclonidine
420,apremilast
421,aprepitant
422,apricot kernel oil
423,aprindine
424,aprinocarsen
425,aprobarbital
426,aprocitentan
427,aprotinin
428,arabic gum allergenic extract
429,arabica coffee bean allergenic extract
430,arachidate
431,arachidonate
432,arbekacin
433,arbutamine
434,arbutin
435,ardeparin
436,arformoterol
437,argan oil
438,argatroban
439,arginine
440,arginine glutamate
441,arginine pyroglutamate
442,arimoclomol
443,aripiprazole
444,aripiprazole lauroxil
445,arizona ash pollen extract
446,arizona cypress pollen extract
