regimen_synonym_id,regimen_synonym,source_id,regimen_id
126,"adriamycin (doxorubicin), bleomycin, dic (dacarbazine), ccnu (lomustine), prednisone",1,32
127,"adriamycin (doxorubicin), bleomycin, prednisone",1,42
128,"adriamycin (doxorubicin), bleomycin, vinblastine",1,43
129,"adriamycin (doxorubicin), bleomycin, vinblastine, dacarbazine",1,44
130,"adriamycin (doxorubicin), bleomycin, vinblastine, dacarbazine, dose-dense and dose-intense",1,45
131,"adriamycin (doxorubicin), bleomycin, vinblastine, dacarbazine, methylprednisolone",1,46
132,"adriamycin (doxorubicin), bleomycin, vincristine",1,43
133,"adriamycin (doxorubicin), bleomycin, vincristine, etoposide",1,47
134,"adriamycin (doxorubicin), bleomycin, vincristine, etoposide, prednisone, cyclophosphamide",1,48
135,"adriamycin (doxorubicin), cis-diamminedichloroplatinum (cisplatin), oncovin (vincristine), cyclophosphamide",1,75
136,"adriamycin (doxorubicin), cyclophosphamide, bevacizumab",1,753
137,"adriamycin (doxorubicin), cyclophosphamide, etoposide, prednisone",1,61
138,"adriamycin (doxorubicin), cyclophosphamide, herceptin (trastuzumab)",1,62
139,"adriamycin (doxorubicin), cyclophosphamide, oncovin (vincristine), methotrexate, leucovorin (folinic acid), ara-c (cytarabine)",1,64
140,"adriamycin (doxorubicin), cyclophosphamide, tamoxifen",1,66
141,"adriamycin (doxorubicin), cyclophosphamide, taxotere (docetaxel)",1,66
142,"adriamycin (doxorubicin), cyclophosphamide, vindesine, bleomycin, methylprednisone",1,68
143,"adriamycin (doxorubicin), cyclophosphamide, vindesine, bleomycin, prednisone",1,68
144,"adriamycin (doxorubicin), cyclophosphamide, vindesine, bleomycin, prednisone, rituximab",1,1810
145,"adriamycin (doxorubicin), fluorouracil, cyclophosphamide",1,1095
146,"adriamycin (doxorubicin), fluorouracil, cyclophosphamide, methotrexate",1,325
147,"adriamycin (doxorubicin), ifosfamide, mesna",1,966
148,"adriamycin (doxorubicin), ifosfamide, mesna, radiation therapy",1,974
149,"adriamycin (doxorubicin), prednisone, oncovin (vincristine)",1,125
150,"adriamycin (doxorubicin), taxotere (docetaxel), cyclophosphamide",1,66
151,"adriamycin (doxorubicin), vinblastine, dacarbazine",1,168
152,"adriamycin (doxorubicin), vinblastine, dacarbazine, adcetris (brentuximab vedotin)",1,21
153,"adriamycin (doxorubicin), vincristine, cyclophosphamide, fluorouracil",1,167
154,adriamycin and bcnu,1,455
155,adriamycin and carmustine,1,455
156,af,7,1094
157,afc,1,1095
158,afcm,1,325
159,afm,7,1110
160,ag,1,1241
161,ai,1,13
162,aida,1,158
163,aim,1,966
164,aim,7,966
165,aim and rt,1,974
166,aio,7,1338
167,"alemtuzumab, cyclophosphamide, hydroxydaunorubicin (doxorubicin), oncovin (vincristine), predniso(lo)ne",1,22
168,alfa interferon and dex,1,1360
169,alfa interferon and dexamethasone,1,1360
170,alfa-interferon and dex,1,1360
171,alfa-interferon and dexamethasone,1,1360
172,alfa-interferon and prednisone,1,1363
173,alfa-interferon and thalidomide,1,1364
174,alkeran,1,338
175,alkeran monotherapy,1,338
176,altretamine and cisplatin,1,101
177,amoxicillin and ppi,1,105
178,amvac,1,1625
179,"anastrozole, goserelin, ribociclib",1,114
180,androgen deprivation therapy,1,77
181,androgen deprivation therapy and abiraterone,1,78
182,androgen deprivation therapy and apalutamide,1,79
183,androgen deprivation therapy and bicalutamide,1,80
184,androgen deprivation therapy and docetaxel,1,82
185,androgen deprivation therapy and enzalutamide,1,83
186,androgen deprivation therapy and flutamide,1,84
187,androgen deprivation therapy and nilutamide,1,85
188,androgen deprivation therapy and radiation therapy,1,86
189,"androgen deprivation therapy, darolutamide, docetaxel",1,87
190,"androgen deprivation therapy, enzalutamide, talazoparib",1,88
191,antithymocyte globulin,1,150
192,antithymocyte globulin and cyclosporine,1,149
193,antithymocyte globulin and cyclosporine a,1,149
194,aope,7,1686
195,ap,1,338
196,app,1,439
197,ara-c (cytarabine) and daunorubicin,1,7
198,ara-c (cytarabine) and idarubicin,1,13
