synonym_id,anchor_drug_id,synonym_name
29552,1051,threo-2-amino-1-hydroxy-1-phenylpropane
29553,931,"threonine, calcium salt"
29554,5020,threoninum
29555,410,thrombate iii
29556,5021,thrombin (synthetic human)
29557,5021,thrombin alfa
29558,5021,thrombin bovine
29559,5021,"thrombin, topical (bovine)"
29560,3900,thrombocid
29561,3900,thrombocid (fm)
29562,4589,thrombocytin
29563,4589,thrombotonin
29564,5022,thuja bark
29565,5022,thuja occidentalis bark
29566,1055,thuja occidentalis leaf/twig oil
29567,1055,thuja occidentalis oil
29568,1055,thuja oil
29569,1055,thuja volatile oil
29570,5067,thyioxolone
29571,1017,thylose
29572,5024,thymi aetheroleum
29573,5069,"thymidine, alpha,alpha,alpha-trifluoro-, mixt. with 5-chloro-6-((2-imino-1-pyrrolidinyl)methyl)-2,4(1h,3h)-pyrimidinedione monohydrochloride"
29574,199,thymocyte stimulating factor
29575,3093,thymoglobulin
29576,3093,thymoglobuline
29577,5028,thymopentine
29578,5028,thymopentinum
29579,5023,thymosin alpha 1
29580,5023,thymosin alpha1 (human)
29581,3439,thymoxamine
29582,5024,thymus vulgaris oil
29583,5033,thypinone
29584,2993,thyractin#
29585,5030,thyrar
29586,5033,thyrel trh
29587,5030,thyreoidin
29588,4149,thyro-block
29589,5030,thyro-teric
29590,4521,thyrocalcitonin (thyroid source)
29591,5030,thyrocrine
29592,5033,thyrogen
29593,2993,thyroglobuline
29594,2993,thyroglobulinum
29595,5030,thyroid
29596,5031,thyroid (pork)
29597,5030,thyroid enseals
29598,5030,thyroid extract
29599,5031,"thyroid extract, porcine"
29600,5030,thyroid gland
29601,5032,thyroid stimulating hormone
29602,5030,thyroid strong
29603,2993,thyroid usp
29604,5030,thyroidea
29605,5030,thyroideum siccum
29606,2994,thyrolar
29607,5033,thyroliberin
29608,2993,thyroprotein#
29609,5032,thyrotrophic hormone
29610,5032,thyrotrophin
29611,5033,thyrotropic releasing hormone
29612,5033,thyrotropic-releasing factor
29613,5033,thyrotropin alpha
29614,5033,thyrotropin releasing hormone
29615,5033,thyrotropin-releasing factor
29616,2993,thyroxine
29617,2993,thysin
29618,5032,thytropar
29619,4986,théobromine
29620,4911,ti tree oil
29621,4991,tiabendazol
29622,4991,tiabendazole
29623,4991,tiabendazolum
29624,2186,tiacumicin b
29625,5036,tiagabina
29626,5036,tiagabine hydrochloride
29627,5036,tiagabinum
29628,1692,tiamate
29629,3287,tiamazol
29630,4992,tiamina
29631,5037,tiamulina
29632,5037,tiamuline
29633,5037,tiamulinum
29634,3806,tian qi root
29635,5039,tianeptina
29636,5040,tiaprida
29637,5040,tiapridum
29638,5041,tiaprofenic acid
29639,5041,tiaprofensäure
29640,1692,tiazac
29641,5043,tibolona
29642,5043,tibolonum
29643,2833,tibsovo
29644,1779,tic10
29645,5044,ticalog
29646,5045,ticarcilina
29647,5045,ticarcillin disodium
29648,5045,ticarcilline
29649,5045,ticarcillinum
29650,601,tice bcg
29651,5143,ticilimumab
29652,5046,ticlid
29653,5046,ticlodix
29654,5046,ticlodone
29655,5046,ticlopidina
29656,5046,ticlopidine hydrochloride
29657,5046,ticlopidinum
29658,5196,ticon
29659,3806,"tienchi ginseng (constituent of american ginseng, asian ginseng, and tienchi ginseng)"
29660,3806,tienchi ginseng root
29661,4995,tietilperazina
29662,5015,tifenamil
29663,5013,tifosyl
29664,5196,tigan
29665,2066,tigason
29666,5048,tigeciclina
29667,5048,tigecyclinum
29668,1781,tigerase
29669,1755,tikosyn
29670,2887,tilactasa
29671,2887,tilactase
29672,2887,tilactasum
29673,3512,tilade
29674,5052,tildipirosina
29675,5052,tildipirosine
29676,5052,tildipirosinum
29677,5053,tildrakizumab-asmn
29678,5078,tilelizumab
29679,5054,tiletamine hydrochloride
29680,308,tilia americana pollen
29681,3013,tilia cordata pollen
29682,5055,tilidate
29683,5055,tilidine hydrochloride
29684,69,tiliquinol
29685,5056,tilmicosin phosphate
29686,851,tiloryth
29687,5241,tilosina
29688,5058,tiludranate
29689,5057,tiludronate disodium
29690,5045,timentin
29691,5061,timidazole
29692,4413,timnodonic acid
29693,2641,timnodonic acid ethyl ester
29694,5059,timolol anhydrous
29695,315,timolol maleate
29696,5059,timololo
29697,5059,timololum
29698,5028,timopentina
29699,5023,timosin
29700,5060,timothy grass (phleum pretense) pollen standardized
29701,5060,timothy grass pollen
29702,5060,timothy grass pollen extracts
29703,5060,timothy pollen
29704,4728,tin dichloride
29705,4729,tin difluoride
29706,4729,tin(ii) fluoride
29707,5107,tinactin
29708,889,tindurin
29709,5061,tinidazol
29710,5061,tinidazolum
29711,5012,tinver
29712,5062,tinzaparin sodium
29713,5062,tinzaparina
29714,5013,tio-tef
29715,5064,tioconazol
29716,5064,tioconazolum
29717,4740,tiofacic
29718,5013,tiofosfamid
29719,5013,tiofosyl (sweden)
29720,5013,tiofozil
29721,5003,tioguanin
29722,5003,tioguanina
29723,5003,tioguanine
29724,5003,tioguaninum
29725,4996,tiomersal
29726,5004,tiopentale
29727,5006,tioproferazina
29728,5065,tiopronine
29729,5065,tiopronino
29730,5065,tioproninum
29731,5005,tiopropazato
29732,5006,tioproperazina
29733,5008,tioridazina
29734,238,tiosinamine
29735,5014,tiotixene
29736,5014,tiotixeno
29737,5014,tiotixenum
29738,5066,tiotropium bromide
29739,5066,tiotropium bromide anhydrous
29740,5066,tiotropium bromide monohydrate
29741,5067,tioxolona
29742,5068,tipiracil hydrochloride
29743,5069,tipiracil hydrochloride mixture with trifluridine
29744,5068,tipiracilo
29745,5116,tipiramate
29746,5116,tipiramato
29747,5070,tipranavir disodium
29748,5070,tipranavir sodium
29749,5016,tiramo
29750,5071,tiratricolum
29751,5074,tirofiban hydrochloride
29752,5074,tirofiban hydrochloride monohydrate
29753,5074,tirofibanum
29754,5074,tirofibán
29755,2993,tiroglobulina
29756,5030,tiroide secca
29757,5075,tiropramida
29758,5075,tiropramidum
29759,2993,tirosina
29760,2993,tirosint
29761,5248,tirotricina
29762,5077,tisa-cel
29763,5077,tisagenlecleucel-t
29764,3294,tisercin
29765,2807,tisin#
29766,5078,tislelizumab-jsgr
29767,1468,tisomycin
29768,5080,tisotumab vedotin
29769,5080,tisotumab vedotin-tftv
29770,5080,tisotumab vendotin-tftv
29771,2181,tisseel
29772,2181,tisseel vh kit
29773,5272,tissue culture urokinase
29774,269,tissue plasminogen activator
29775,269,tissue plasminogen activator alteplase
29776,269,"tissue plasminogen activator, recombinant"
29777,5081,titan
29778,5081,titane
29779,5081,titanio
29780,5081,titanium element
29781,5081,titanium metallicum
29782,908,titralac
29783,908,titralac extra strength
29784,5080,tivdak
29785,1760,tivicay
29786,2694,tivorbex
29787,5084,tivozanib hydrochloride
29788,5084,tivozanib hydrochloride hydrate
29789,5084,tivozanib monohydrochloride monohydrate
29790,781,tiwai peiyu niuhuang
29791,5086,tixocortol pivalate
29792,5087,tizanidin
29793,5087,tizanidina
29794,5087,tizanidine hydrochloride
29795,5087,tizanidinum
29796,1557,tk-006
29797,4631,tmc 435
29798,1915,tmc-125
29799,4631,tmc-435
29800,1521,tmc114
