row_id,interventions_id,clinical_trial_id,name,other_name,source_id
200205,4562564,NCT00937495,bortezomib,LDP 341,6
200206,4562564,NCT00937495,bortezomib,MLN341,6
200207,4562564,NCT00937495,bortezomib,VELCADE,6
200208,4562585,NCT02893540,Capecitabine,Xeloda,6
200209,4562592,NCT01606540,Tablets Ibumetin and placebo,No other names.,6
200210,4562593,NCT01606540,Tablets Ibumetin and placebo,No other names.,6
200211,4562598,NCT03300544,Capecitabine,Ro 09-1978/000,6
200212,4562598,NCT03300544,Capecitabine,Xeloda,6
200213,4562599,NCT03300544,Fluorouracil,5 FU,6
200214,4562599,NCT03300544,Fluorouracil,5 Fluorouracil,6
200215,4562599,NCT03300544,Fluorouracil,5 Fluorouracilum,6
200216,4562599,NCT03300544,Fluorouracil,"5-Fluoro-2,4(1H, 3H)-pyrimidinedione",6
200217,4562599,NCT03300544,Fluorouracil,5-Fluorouracil,6
