row_id,interventions_id,clinical_trial_id,name,other_name,source_id
199898,4561167,NCT00532714,Irinotecan plus capecitabine,Xeloda,6
199899,4561188,NCT00073814,Levalbuterol tartrate MDI,Xopenex MDI,6
199900,4561191,NCT00192114,Enzastaurin HCl,LY317615,6
199901,4561193,NCT04047914,Mupirocin ointment,Mupirocin Nasal Product,6
199902,4561210,NCT00171314,Zoledronic acid,ZOL446,6
199903,4561210,NCT00171314,Zoledronic acid,Zometa®,6
199904,4561211,NCT00171314,Letrozole,Femara®,6
199905,4561212,NCT00606814,"IPI-504, docetaxel",Taxotere,6
199906,4561227,NCT00617695,Zolmitriptan,Zomig,6
199907,4561254,NCT04654195,Doxorubicin-Cyclophosphamide regimen,chemotherapy treatment,6
199908,4561257,NCT00518895,dacarbazine plus Genasense,"dacarbazine plus Genasense (oblimersen, G3139)",6
199909,4561258,NCT00518895,dacarbazine plus placebo,dacarbazine plus placebo (0.9% Sodium Chloride Injection),6
199910,4561259,NCT02964195,Rifaximin,XIFAXAN,6
199911,4561260,NCT00215995,Cisplatin,Platinol,6
199912,4561260,NCT00215995,Cisplatin,Platinol-AQ,6
199913,4561261,NCT00215995,Irinotecan,Camptosar,6
199914,4561262,NCT00215995,ZD 1839,Iressa,6
199915,4561270,NCT02063295,ZGN-440 sterile diluent,Placebo,6
199916,4561271,NCT02063295,ZGN-440 for injectable suspension,Beloranib,6
199917,4561271,NCT02063295,ZGN-440 for injectable suspension,ZGN-440,6
199918,4561274,NCT02897050,Capecitabine,Xeloda,6
199919,4561275,NCT02897050,Cyclophosphamide (tablet),CTX,6
199920,4561276,NCT02897050,Fluorouracil,5-Fu,6
199921,4561278,NCT02897050,Cyclophosphamide (injection),CTX,6
199922,4561286,NCT01074255,EMEND,Aprepitant,6
199923,4561286,NCT01074255,EMEND,MK-0869,6
199924,4561288,NCT00235014,trandolapril,ABT-878,6
199925,4561288,NCT00235014,trandolapril,Mavik/Gopten,6
199926,4561289,NCT00235014,trandolapril/verapamil,ABT-TARKA,6
199927,4561289,NCT00235014,trandolapril/verapamil,Tarka,6
199928,4561289,NCT00235014,trandolapril/verapamil,VeraTran,6
199929,4561291,NCT00235014,verapamil,ABT-150,6
199930,4561292,NCT01128114,Quetiapine fumarate (Seroquel XR),Seroquel XR tablet,6
199931,4561299,NCT00927472,Permethrin 1% rinse,Nix Creme Rinse,6
199932,4561312,NCT02838472,Ascorbic Acid,Vitamin C,6
199933,4561314,NCT02895672,GLP-1 therapy,"Bydureon, Victoza",6
199934,4561316,NCT00595972,ECF-endostar,treatment group,6
199935,4561325,NCT06332014,Prolia,Denosumab,6
199936,4561327,NCT01190514,desvenlafaxine succinate sustained release,"DVS-233 SR, Pristiq",6
199937,4561328,NCT01190514,desvenlafaxine succinate sustained release,"DVS-233 SR, Pristiq",6
199938,4561329,NCT01190514,desvenlafaxine succinate sustained release,"DVS-233 SR, Pristiq",6
199939,4561330,NCT01190514,desvenlafaxine succinate sustained release,"DVS-233 SR, Pristiq",6
199940,4561337,NCT03053440,BGB-3111,Brukinsa,6
199941,4561337,NCT03053440,BGB-3111,Zanubrutinib,6
199942,4561338,NCT03053440,Ibrutinib,IMBRUVICA,6
199943,4561339,NCT02989844,N-803,Nant-803,6
199944,4561342,NCT05996744,Obeldesivir,GS-5245,6
199945,4561343,NCT06454240,lunsekimig,SAR443765,6
199946,4561345,NCT03609840,Thiotepa,Alkylating antineoplastic agent,6
199947,4561345,NCT03609840,Thiotepa,Tepadina,6
199948,4561350,NCT01009840,IV busulfan,Busulfex®,6
199949,4561351,NCT01009840,bortezomib,Velcade®,6
199950,4561353,NCT06083844,Pembrolizumab,KEYTRUDA®,6
199951,4561354,NCT06083844,Bevacizumab,Anti-VEGF monoclonal antibody,6
199952,4561354,NCT06083844,Bevacizumab,Avastin™,6
199953,4561354,NCT06083844,Bevacizumab,rhuMAb-VEGF,6
199954,4561355,NCT06083844,Cyclophosphamide,Cytoxan®,6
199955,4561355,NCT06083844,Cyclophosphamide,Neosar®,6
199956,4561356,NCT02841202,oral contraceptive pills,yasmin,6
199957,4561359,NCT02879721,Candesartan,"Atacand, Ratacand, Biopress; CAS 139481-59-7, ATC C09CA06",6
199958,4561360,NCT02879721,Enalapril,"Vasotec, Enaladex, Renitec; CAS 75847-73-3, ATC C09AA02",6
199959,4561362,NCT01340014,Brinzolamide 1.0% + Timolol 0.5% ophthalmic suspension,AZARGA®,6
199960,4561363,NCT01340014,Dorzolamide 2.0% + Timolol 0.5% ophthalmic solution,COSOPT®,6
199961,4561376,NCT03756961,Dexmedetomidine,Dexdor,6
199962,4561378,NCT03756961,Esketamine,Ketanest,6
199963,4561379,NCT03756961,Lidocaine,Xylocaine,6
199964,4561381,NCT03756961,Remifentanil,Ultiva,6
199965,4561382,NCT03756961,Desflurane,Desfluran,6
199966,4561424,NCT00508495,Paracetamol (acetaminophen),Perfalgan,6
199967,4561426,NCT00508495,0.9% sodium chloride solution,Normal saline solution,6
199968,4561439,NCT03476681,NEO-201 in combination with pembrolizumab,IHC screening for NEO-201 target,6
199969,4561443,NCT04317807,Levetiracetam Pill,Keppra,6
199970,4561445,NCT00581607,Bosentan,Tracleer,6
199971,4561447,NCT00581607,Bosentan,tracleer,6
199972,4561492,NCT02680288,"Lorcaserin, 10 mg",Belviq,6
199973,4561493,NCT02680288,"Lorcaserin, 20 mg",Belviq,6
199974,4561496,NCT04526288,Liposome-encapsulated Daunorubicin-Cytarabine,CPX-351,6
199975,4561496,NCT04526288,Liposome-encapsulated Daunorubicin-Cytarabine,Cytarabine-Daunorubicin Liposome for Injection,6
199976,4561496,NCT04526288,Liposome-encapsulated Daunorubicin-Cytarabine,Daunorubicin and Cytarabine (Liposomal),6
199977,4561496,NCT04526288,Liposome-encapsulated Daunorubicin-Cytarabine,Liposomal Cytarabine (AraC)-Daunorubicin CPX-351,6
199978,4561496,NCT04526288,Liposome-encapsulated Daunorubicin-Cytarabine,Liposomal Cytarabine-Daunorubicin,6
199979,4561496,NCT04526288,Liposome-encapsulated Daunorubicin-Cytarabine,Liposome-encapsulated Combination of Daunorubicin and Cytarabine,6
199980,4561496,NCT04526288,Liposome-encapsulated Daunorubicin-Cytarabine,Vyxeos,6
199981,4561527,NCT01158950,Tolcapone,Tasmar,6
199982,4561534,NCT00165750,DONEPEZIL HYDROCHLORIDE,Aricept,6
199983,4561552,NCT06169072,Superparamagnetic Iron Oxide,Magtrace,6
199984,4561563,NCT02418572,Testosterone gel,Androgel 1% 0.55 gr / day,6
199985,4561567,NCT06024772,Perflutren lipid microsphere,Definity,6
199986,4561577,NCT02878772,vinpocetine,Cavinton,6
199987,4561594,NCT05130450,Olezarsen,AKCEA -APOCIII-LRx,6
199988,4561594,NCT05130450,Olezarsen,ISIS 678354,6
199989,4561596,NCT00406250,intravitreal injection,intravitreal bevacizumab,6
199990,4561597,NCT00406250,intravitreal injection,intravitreal bevacizumab,6
199991,4561602,NCT01247350,LY3009104,baricitinib,6
199992,4561623,NCT00258050,Midazolam,GW572016 oral tablets,6
199993,4561638,NCT00576550,Urea,Canoderm 5% kräm,6
199994,4561639,NCT00576550,betamethasone valerate,"Betnoderm 0,1 % kräm",6
199995,4561640,NCT00576550,betamethasone valerate,"Betnoderm 0,1 % kräm",6
199996,4561644,NCT01215955,Insulin lispro,Humalog,6
199997,4561644,NCT01215955,Insulin lispro,LY275585,6
199998,4561660,NCT00419250,lenalidomide,"Revlimid, CC-5013",6
199999,4561661,NCT00419250,lenalidomide,"Revlimid, CC-5013",6
200000,4561662,NCT00419250,lenalidomide,"Revlimid, CC-5013",6
200001,4561663,NCT00419250,lenalidomide,"Revlimid, CC-5013",6
200002,4561664,NCT00419250,lenalidomide,"Revlimid, CC-5013",6
200003,4561673,NCT05304455,Apixaban 2.5 MG,ELIQUIS,6
200004,4561674,NCT05304455,Dipyridamole 25Mg Tab,Persantine,6
200005,4561675,NCT05304455,subcutaneous Low Molecular Weight Heparin,LMWHs,6
200006,4561690,NCT01188655,Enbrel,etanercept,6
200007,4561701,NCT05322681,Pregabalin 150mg,Lyrica 150mg,6
200008,4561713,NCT01243281,PEG-IFN and entecavir,baraclude,6
200009,4561713,NCT01243281,PEG-IFN and entecavir,pegintron,6
200010,4561720,NCT04153981,Insulin Glargine,Basaglar,6
200011,4561720,NCT04153981,Insulin Glargine,LY2963016,6
200012,4561729,NCT00120302,Pimecrolimus,Elidel,6
200013,4561745,NCT00193921,Vinorelbine,"Navelbine, Vinorelbine Ebewe",6
200014,4561747,NCT00193921,Gemcitabine,"Gemzar, Xeloda",6
200015,4561748,NCT00193921,Cisplatin,"Cisplatin Ebewe, Cisplatin Injection",6
200016,4561756,NCT02865421,stem cells,stromal vascular fraction,6
200017,4561767,NCT00470821,Oral melatonin 3mg BID,MELATONIN 3 mg,6
