legacy_anchor_drug_id,legacy_anchor_drug_name,term_kind,legacy_synonym_id,normalized_surface_form,provisional_default_rxcui,provisional_default_name,provisional_default_tty,validated_rxcui,validated_name,validated_tty,rxnorm_mapping_rule,override_class
26036,piperazine,synonym,28726,delavirdine mesylate,8340,piperazine,IN,83816,delavirdine,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
26195,plantago seed,synonym,56398,psyllium,82088,plantago seed,IN,8928,psyllium,IN,exact_in,incompatible_ingredient_target_reassigned
26426,polysorbate 60,synonym,53212,peg-60 sorbitan stearate,1368867,polysorbate 60,IN,1487142,peg-60 sorbitan stearate,IN,exact_in,incompatible_ingredient_target_reassigned
26545,povidone k30,synonym,55389,povidone k29-32,8610,povidone,IN,1305758,povidone k29-32,IN,exact_in,incompatible_ingredient_target_reassigned
26589,pralidoxime chloride,synonym,56224,protopam,465370,atropine / pralidoxime,MIN,34345,pralidoxime,IN,bn_to_unique_in,multi_anchor_component_to_single_ingredient_target
26870,proguanil,synonym,55909,proguanil hydrochloride,2382,proguanil,IN,284623,atovaquone / proguanil,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
26959,propylene glycol monopalmitostearate,synonym,56085,propylene glycol monostearate,1427010,propylene glycol monopalmitostearate,IN,1314411,propylene glycol monostearate,IN,exact_in,incompatible_ingredient_target_reassigned
27192,pyrethrum extract,synonym,56630,pyrethrins,1232405,pyrethrum extract,IN,8991,pyrethrins,IN,exact_in,incompatible_ingredient_target_reassigned
27205,pyridoxine,synonym,67885,vitamin b6,684879,pyridoxine,IN,42954,vitamin b6,IN,exact_in,incompatible_ingredient_target_reassigned
27283,quadramet,synonym,59828,samarium sm 153 lexidronam,9549,samarium,IN,177906,samarium sm 153 lexidronam,IN,exact_in,incompatible_ingredient_target_reassigned
27283,quadramet,synonym,59835,samarium sm-153 lexidronam pentasodium,9549,samarium,IN,177906,samarium sm 153 lexidronam,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
27365,quinidine,synonym,56940,quinate,9068,quinidine,IN,1427233,quinate,IN,exact_in,incompatible_ingredient_target_reassigned
27431,rabeprazole,synonym,25672,clofezone,114979,rabeprazole,IN,183877,clofezone,IN,exact_in,incompatible_ingredient_target_reassigned
28126,risedronate,synonym,58584,risedronic acid,73056,risedronate,IN,55685,risedronic acid,IN,exact_in,incompatible_ingredient_target_reassigned
28653,salmon calcitonin,synonym,22499,calcitonin,36118,salmon calcitonin,IN,1311287,calcitonin,IN,exact_in,incompatible_ingredient_target_reassigned
29185,silicon dioxide,synonym,29343,diatomaceous earth,9771,silicon dioxide,IN,1362874,diatomaceous earth,IN,exact_in,incompatible_ingredient_target_reassigned
29185,silicon dioxide,synonym,61093,"silicon dioxide, colloidal",9771,silicon dioxide,IN,314826,"silicon dioxide, colloidal",IN,exact_in,incompatible_ingredient_target_reassigned
29195,silodrate,synonym,61143,simaldrate,1373351,silodrate,IN,236730,simaldrate,IN,exact_in,incompatible_ingredient_target_reassigned
29411,sodium bisulfite,synonym,61671,sodium hydrogen sulfite,36679,sodium bisulfite,IN,1366859,hydrogen sulfite,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
29427,sodium citrate,synonym,66272,trisodium citrate anhydrous,56466,sodium citrate,IN,114200,citrate,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
