normalized_surface_form,match_count,matched_rxcuis,matched_ttys,matched_names,concept_classes,mapping_status,mapping_rule,canonical_rxcui,canonical_name,canonical_tty
"((4ar)-1-(4-fluorophenyl)-6-(1-methyl-1h-pyrazole-4-sulfonyl)-1,4,5,6,7,8-hexahydro-4ah-pyrazolo(3,4-g)isoquinolin-4a-yl)(4-(trifluoromethyl)pyridin-2-yl)methanone",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"((4rs)-2,2-dimethyl-1,3-dioxolan-4-yl)methyl4-((5r,5ar,8ar,9s)-9-((4,6-o-((1r)-ethane-1,1-diyl)-.beta.-d-glucopyranosyl)oxy)-6-oxo-5,5a,6,8,8a,9-hexahydro-2h-furo(3',4':6,7)naphtho(2,3-d)(1,3)dioxol-5-yl)-2,6-dimethoxyphenyl carbonate",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"((7-nitro-2,3-dioxo-1,2,3,4-tetrahydroquinoxalin-5-yl)methylamino)methylphosphonic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((amino(imino)methyl)(methyl)amino)acetic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((cycloheptylamino)methylene)diphosphonic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((octahydro-2-azocinyl)methyl)guanidine sulfate monohydrate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((r)-3-(5-(p-fluorobenzyl)-2-thienyl)-1-methyl-2-propynyl)-1-hydroxyurea,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((s)-2-(3-((s)-1-carboxy-5-(3-(4-[(131)i]iodophenyl)ureido)pentyl)ureido)pentanedioic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((sup 11)c)carbon monoxide,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((thienyl-2)-1 cyclohexyle)-n piperidine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"()-1h-1,2,4-triazole, 1-((2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl)methyl)-",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+) threo-2-(methylamino)-1-phenyl-1-propanol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(1s,2r,5s)-menthol",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(1s,2s)-pseudoephedrine",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(1s,3s,4r)-menthol",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(1s,4s)-4-amino-3-(difluoromethylene)-1-cyclopentanecarboxylic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(2r)-2-(2-(((r)-p-chloro-alpha-methyl-alpha-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(2r)-2-(2-(((r)-p-chloro-α-methyl-α-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(2r)-2-(acetylamino)-n-benzyl-3-methoxypropanamide,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(2r)-2-[2-[[(r)-p-chloro-α-methyl-α-phenylbenzyl]oxy]ethyl]-1-methylpyrrolidine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(2r,3r)-dihydroquercetin",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(2r,3r,11br)-dihydrotetrabenazine",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(2s)-2-(4-chloro-2-methoxyphenyl)-2-((3-methoxy-5-(methylsulfonyl)phenyl)amino)-1-(5-(trifluoromethoxy)-1h-indol-3-yl)ethanone,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(2s)-2-(acetylamino)-3-(4-hydroxyphenyl)propanoic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(2s)-n-((1r)-1-(3,5-bis(trifluoromethyl)phenyl)ethyl)-2-(4-fluoro-2-methylphenyl)-n-methylpiperazine-1-carboxamide methanesulfonate",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
