legacy_anchor_drug_id,legacy_anchor_drug_name,quarantine_reason
45,"(1r,3r)-5-[(2e)-3-{(1s,3r)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",no_rxnorm_ingredient_evidence
46,"(1r,4s)-2-azabornane",no_rxnorm_ingredient_evidence
47,"(1r,4s,7as)-1-(1-formylprop-1-en-1-yl)-4-methoxy-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylic acid",no_rxnorm_ingredient_evidence
48,"(1s)-1,2,3,4-tetrahydro-benzo[c]phenanthrene-2,3,4-triol",no_rxnorm_ingredient_evidence
49,"(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1,7]naphtyridin-5-yloxy)-ehylamine",no_rxnorm_ingredient_evidence
50,"(1s)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",no_rxnorm_ingredient_evidence
51,(1s)-1-(phenoxymethyl)propyl methylphosphonochloridoate,no_rxnorm_ingredient_evidence
52,(1s)-1-amino-2-(1h-indol-3-yl)ethanol,no_rxnorm_ingredient_evidence
53,"(1s)-1-c-{(2r)-6-[(2r)-2-butanyl]-5,10-dihydroxy-4-oxo-1,2,3,4-tetrahydro-2-anthracenyl}-5-deoxy-1-o-methyl-d-xylulose",no_rxnorm_ingredient_evidence
54,"(1s)-1-cyclopropyl-2-[(2s)-4-(2,5-difluorophenyl)-2-phenyl-2,5-dihydro-1h-pyrrol-1-yl]-2-oxoethanamine",no_rxnorm_ingredient_evidence
55,(1s)-1-phenylethyl (4-acetamidobenzyl)phosphonate,no_rxnorm_ingredient_evidence
56,"(1s)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",no_rxnorm_ingredient_evidence
57,(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine,no_rxnorm_ingredient_evidence
58,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-ethynylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",no_rxnorm_ingredient_evidence
59,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-prop-1-yn-1-ylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",no_rxnorm_ingredient_evidence
60,"(1s)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",no_rxnorm_ingredient_evidence
61,"(1s)-2-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-1-[(pentanoyloxy)methyl]ethyl octanoate",no_rxnorm_ingredient_evidence
62,(1s)-menthyl hexyl phosphonate group,no_rxnorm_ingredient_evidence
63,"(1s,2r)-2-[(2,5-difluorophenyl)carbamoyl]cyclopropanecarboxylic acid",no_rxnorm_ingredient_evidence
64,"(1s,2r,3s,4r,5r)-2,3,4-trihydroxy-n-octyl-6-oxa-8-azabicyclo[3.2.1]octane-8-carbothioamide",no_rxnorm_ingredient_evidence
65,"(1s,2r,5s)-5-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8h)-yl]-2-(2,4,5-trifluorophenyl)cyclohexanamine",no_rxnorm_ingredient_evidence
66,"(1s,2s)-1-amino-1-(1,3-thiazol-2-yl)propan-2-ol",no_rxnorm_ingredient_evidence
67,"(1s,2s,3r,4s,5s)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl (1e)-2-phenyl-n-(sulfooxy)ethanimidothioate",no_rxnorm_ingredient_evidence
68,"(1s,2s,3r,6r)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1,2,3-triol",no_rxnorm_ingredient_evidence
69,"(1s,2s,5s)2-(4-glutaridylbenzyl)-5-phenyl-1-cyclohexanol",no_rxnorm_ingredient_evidence
70,"(1s,3as,5ar,8as)-1,7,7-trimethyl-1,2,3,3a,5a,6,7,8-octahydrocyclopenta[c]pentalene-4-carboxylic acid",no_rxnorm_ingredient_evidence
71,"(1s,3r,4r,6s)-1,3,4,6-tetrapkisphosphate",no_rxnorm_ingredient_evidence
72,"(1s,3r,4s,5s,7s)-4-{[2-(4-methoxyphenoxy)-2-methylpropanoyl]amino}adamantane-1-carboxamide",no_rxnorm_ingredient_evidence
73,"(1s,3r,6s)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid",no_rxnorm_ingredient_evidence
74,"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",no_rxnorm_ingredient_evidence
75,"(1s,4r,7ar)-4-butoxy-1-[(1r)-1-formylpropyl]-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylic acid",no_rxnorm_ingredient_evidence
76,"(1s,4r,9s)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",no_rxnorm_ingredient_evidence
77,"(1s,4s,5s)-1,4,5-trihydroxy-3-[3-(phenylthio)phenyl]cyclohex-2-ene-1-carboxylic acid",no_rxnorm_ingredient_evidence
78,"(1s,5s,7r)-n~7~-(biphenyl-4-ylmethyl)-n~3~-hydroxy-6,8-dioxa-3-azabicyclo[3.2.1]octane-3,7-dicarboxamide",no_rxnorm_ingredient_evidence
79,"(1s,7s,8s,8ar)-1,2,3,7,8,8a-hexahydro-7-methyl-8-[2-[(2r,4r)-tetrahydro-4-hy droxy-6-oxo-2h-pyran-2-yl]ethyl]-1-naphthalenol",no_rxnorm_ingredient_evidence
80,(1z)-2-hydroxy-3-oxohex-1-en-1-yl dihydrogen phosphate,no_rxnorm_ingredient_evidence
81,(1z)-4-(4-fluorophenyl)-2-methylidenebutan-1-imine,no_rxnorm_ingredient_evidence
82,"(2,2-diphosphonoethyl)(dodecyl)dimethylphosphonium",no_rxnorm_ingredient_evidence
83,"(2,6-dimethylphenoxy)acetic acid",no_rxnorm_ingredient_evidence
84,"(2-amino-1,3-oxazol-5-yl)-(3-bromophenyl)methanone",no_rxnorm_ingredient_evidence
85,(2-amino-3-phenyl-bicyclo[2.2.1]hept-2-yl)-phenyl-methanone,no_rxnorm_ingredient_evidence
86,(2-bromoethyl)(2-'formyl-4'-aminophenyl) acetate,no_rxnorm_ingredient_evidence
87,(2-carbamoylmethyl-5-propyl-octahydro-indol-7-yl)acetic acid,no_rxnorm_ingredient_evidence
88,(2-{[(4-bromo-2-fluorobenzyl)amino]carbonyl}-5-chlorophenoxy)acetic acid,no_rxnorm_ingredient_evidence
89,"(20s)-19,20,21,22-tetrahydro-19-oxo-5h-18,20-ethano-12,14-etheno-6,10-metheno-18h-benz[d]imidazo[4,3-k][1,6,9,12]oxatriaza-cyclooctadecosine-9-carbonitrile",no_rxnorm_ingredient_evidence
90,"(20s)-19,20,22,23-tetrahydro-19-oxo-5h,21h-18,20-ethano-12,14-etheno-6,10-methenobenz[d]imidazo[4,3-l][1,6,9,13]oxatriazacyclonoadecosine-9-carbonitrile",no_rxnorm_ingredient_evidence
91,"(21s)-1aza-4,4-dimethyl-6,19-dioxa-2,3,7,20-tetraoxobicyclo[19.4.0] pentacosane",no_rxnorm_ingredient_evidence
92,(2e)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one,no_rxnorm_ingredient_evidence
93,(2e)-2-({(2s)-2-carboxy-2-[(phenoxyacetyl)amino]ethoxy}imino)pentanedioic acid,no_rxnorm_ingredient_evidence
94,"(2e)-3-(2,4-dichlorophenyl)-n-hydroxyacrylamide",no_rxnorm_ingredient_evidence
95,(2e)-3-(2-oct-1-yn-1-ylphenyl)acrylic acid,no_rxnorm_ingredient_evidence
96,"(2e)-3-(3,4-dihydroxyphenyl)-2-iminopropanoic acid",no_rxnorm_ingredient_evidence
97,(2e)-3-(4-chlorophenyl)-n-hydroxyacrylamide,no_rxnorm_ingredient_evidence
98,"(2e)-3-{3-[(5-ethyl-3-iodo-6-methyl-2-oxo-1,2-dihydropyridin-4-yl)oxy]phenyl}acrylonitrile",no_rxnorm_ingredient_evidence
99,(2e)-n-allyl-4-{[3-(4-bromophenyl)-5-fluoro-1-methyl-1h-indazol-6-yl]oxy}-n-methyl-2-buten-1-amine,no_rxnorm_ingredient_evidence
100,(2e)-n-hydroxy-3-[1-methyl-4-(phenylacetyl)-1h-pyrrol-2-yl]prop-2-enamide,no_rxnorm_ingredient_evidence
101,(2e)-n-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide,no_rxnorm_ingredient_evidence
102,"(2e,3s)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'h)-one",no_rxnorm_ingredient_evidence
103,"(2e,4e)-11-methoxy-3,7,11-trimethyldodeca-2,4-dienoic acid",no_rxnorm_ingredient_evidence
104,"(2e,4e)-2-hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid",no_rxnorm_ingredient_evidence
105,"(2e,4r,5s)-2,3,4,5-tetrahydroxy-6-(palmitoyloxy)hex-2-enoic acid",no_rxnorm_ingredient_evidence
106,(2r)-({4-[amino(imino)methyl]phenyl}amino){5-ethoxy-2-fluoro-3-[(3r)-tetrahydrofuran-3-yloxy]phenyl}aceticacid,no_rxnorm_ingredient_evidence
107,"(2r)-1-(2,6-dimethylphenoxy)propan-2-amine",no_rxnorm_ingredient_evidence
108,(2r)-1-(dimethylamino)-3-{4-[(6-{[2-fluoro-5-(trifluoromethyl)phenyl]amino}pyrimidin-4-yl)amino]phenoxy}propan-2-ol,no_rxnorm_ingredient_evidence
109,(2r)-1-[(4-tert-butylphenyl)sulfonyl]-2-methyl-4-(4-nitrophenyl)piperazine,no_rxnorm_ingredient_evidence
110,"(2r)-1-[(5,6-diphenyl-7h-pyrrolo[2,3-d]pyrimidin-4-yl)amino]propan-2-ol",no_rxnorm_ingredient_evidence
111,"(2r)-1-[4-({4-[(2,5-dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",no_rxnorm_ingredient_evidence
112,"(2r)-1-[4-({6-[(2,6-difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",no_rxnorm_ingredient_evidence
113,(2r)-1-{4-[(4-anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,no_rxnorm_ingredient_evidence
114,(2r)-2-(3-biphenylyl)-n-{(2r)-2-hydroxy-3-[(2-pyridinylsulfonyl)amino]propyl}-4-methylpentanamide,no_rxnorm_ingredient_evidence
115,(2r)-2-(4-chlorophenyl)-2-[4-(1h-pyrazol-4-yl)phenyl]ethanamine,no_rxnorm_ingredient_evidence
116,(2r)-2-(4-chlorophenyl)-2-phenylethanamine,no_rxnorm_ingredient_evidence
117,(2r)-2-(5-chloro-2-thienyl)-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}propene-1-sulfonamide,no_rxnorm_ingredient_evidence
118,"(2r)-2-(aminomethyl)-2,4-dihydroxy-5-oxo-3-(2-oxoethyl)-2,5-dihydro-1h-imidazol-3-ium",no_rxnorm_ingredient_evidence
119,(2r)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9h-purin-2-yl}amino)butan-1-ol,no_rxnorm_ingredient_evidence
120,(2r)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9h-purin-2-yl}amino)butan-1-ol,no_rxnorm_ingredient_evidence
121,"(2r)-2-[(1r)-1-[[(2z)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-2-oxoethyl]-5-methylidene-2h-1,3-thiazine-4-carboxylic acid",no_rxnorm_ingredient_evidence
122,"(2r)-2-[(1r)-1-{[(2s)-2-carboxy-2-(4-hydroxyphenyl)acetyl]amino}-1-methoxy-2-oxoethyl]-5-methylene-5,6-dihydro-2h-1,3-oxazine-4-carboxylic acid",no_rxnorm_ingredient_evidence
123,(2r)-2-acetamido-3-(octadecyloxy)propyl 2-(methylsulfanyl)ethyl hydrogen phosphate,no_rxnorm_ingredient_evidence
124,"(2r)-2-amino-3,3,3-trifluoro-n-hydroxy-2-{[(4-phenoxyphenyl)sulfonyl]methyl}propanamide",no_rxnorm_ingredient_evidence
125,(2r)-2-benzyl-3-nitropropanoic acid,no_rxnorm_ingredient_evidence
126,(2r)-2-ethyl-1-hexanesulfonic acid,no_rxnorm_ingredient_evidence
127,(2r)-2-phenyl-n-pyridin-4-ylbutanamide,no_rxnorm_ingredient_evidence
128,"(2r)-2-{(1r)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid",no_rxnorm_ingredient_evidence
129,(2r)-2-{[(4-fluoro-3-methylphenyl)sulfonyl]amino}-n-hydroxy-2-tetrahydro-2h-pyran-4-ylacetamide,no_rxnorm_ingredient_evidence
130,"(2r)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",no_rxnorm_ingredient_evidence
131,"(2r)-2-{[4-chloro-6-(ethylamino)-1,3,5-triazin-2-yl]amino}-2-methylbutanenitrile",no_rxnorm_ingredient_evidence
132,(2r)-2-{[formyl(hydroxy)amino]methyl}hexanoic acid,no_rxnorm_ingredient_evidence
133,"(2r)-3-(phosphonooxy)propane-1,2-diyl diheptanoate",no_rxnorm_ingredient_evidence
134,"(2r)-3-[(tetrahydroxyphosphoranyl)oxy]-1,2-propanediyl dibutanoate",no_rxnorm_ingredient_evidence
135,(2r)-3-methyl-1-phenyl-2-butanyl [(2s)-1-oxo-2-hexanyl]carbamate,no_rxnorm_ingredient_evidence
136,"(2r)-3-{[(4z)-5,6-diphenyl-6,7-dihydro-4h-pyrrolo[2,3-d]pyrimidin-4-ylidene]amino}propane-1,2-diol",no_rxnorm_ingredient_evidence
137,(2r)-3-{[(benzylamino)carbonyl]amino}-2-hydroxypropanoic acid,no_rxnorm_ingredient_evidence
138,"(2r)-3-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-2-[(9e)-hexadec-9-enoyloxy]propyl (9e)-octadec-9-enoate",no_rxnorm_ingredient_evidence
139,"(2r)-4,4-dihydroxy-5-nitro-2-(phenylmethyl)pentanoic acid",no_rxnorm_ingredient_evidence
140,"(2r)-4-(2-benzoyl-1,2-diazepan-1-yl)-4-oxo-1-(2,4,5-trifluorophenyl)butan-2-amine",no_rxnorm_ingredient_evidence
141,"(2r)-4-[(8r)-8-methyl-2-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[1,5-a]pyrazin-7(8h)-yl]-4-oxo-1-(2,4,5-trifluorophenyl)butan-2-amine",no_rxnorm_ingredient_evidence
142,(2r)-n-[(2r)-2-(dihydroxyboryl)-1-l-prolylpyrrolidin-2-yl]-n-[(5r)-5-(dihydroxyboryl)-1-l-prolylpyrrolidin-2-yl]-l-prolinamide,no_rxnorm_ingredient_evidence
143,(2r)-n-hydroxy-2-[(3s)-3-methyl-3-{4-[(2-methylquinolin-4-yl)methoxy]phenyl}-2-oxopyrrolidin-1-yl]propanamide,no_rxnorm_ingredient_evidence
144,(2r)-n-hydroxy-3-naphthalen-2-yl-2-[(naphthalen-2-ylsulfonyl)amino]propanamide,no_rxnorm_ingredient_evidence
145,"(2r)-n-{4-[ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",no_rxnorm_ingredient_evidence
146,"(2r)-n~4~-hydroxy-2-(3-hydroxybenzyl)-n~1~-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]butanediamide",no_rxnorm_ingredient_evidence
147,"(2r,3r)-2,3-dihydroxy-4-oxo-4-(propylamino)butanoic acid",no_rxnorm_ingredient_evidence
148,"(2r,3r)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine",no_rxnorm_ingredient_evidence
149,"(2r,3r)-n^1^-[(1s)-2,2-dimethyl-1-(methylcarbamoyl)propyl]-n^4^-hydroxy-2-(2-methylpropyl)-3-{[(1,3-thiazol-2-ylcarbonyl)amino]methyl}butanediamide",no_rxnorm_ingredient_evidence
150,"(2r,3r,4r,5r)-3,4-dihydroxy-n,n'-bis[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-2,5-bis(2-phenylethyl)hexanediamide",no_rxnorm_ingredient_evidence
151,"(2r,3r,4r,5r)-4,5-dihydroxy-2-(hydroxymethyl)-6-oxo-3-piperidinyl beta-d-glucopyranoside",no_rxnorm_ingredient_evidence
152,"(2r,3r,4r,5s)-2-(hydroxymethyl)-1-nonylpiperidine-3,4,5-triol",no_rxnorm_ingredient_evidence
153,"(2r,3r,4s)-3-(4-hydroxyphenyl)-4-methyl-2-[4-(2-pyrrolidin-1-ylethoxy)phenyl]chroman-6-ol",no_rxnorm_ingredient_evidence
154,"(2r,3r,4s,5r)-2-[6-amino-8-[(3,4-dichlorophenyl)methylamino]purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",no_rxnorm_ingredient_evidence
155,"(2r,3r,4s,5r)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine",no_rxnorm_ingredient_evidence
156,"(2r,3r,4s,5r,6e)-3,4,5-trihydroxy-n-[(3s,6r)-6-hydroxy-2-oxo-3-azepanyl]-2-methoxy-8,8-dimethyl-6-nonenamide",no_rxnorm_ingredient_evidence
157,"(2r,3s,5s)-2-(hydroxymethyl)-5-[(2-sulfoethyl)carbamoyl]-3-pyrrolidiniumyl 2-acetamido-2-deoxy-4-o-sulfo-beta-d-glucopyranoside",no_rxnorm_ingredient_evidence
158,"(2r,4s)-2-[(1r)-1-{[(2r)-2-amino-2-(4-hydroxyphenyl)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",no_rxnorm_ingredient_evidence
159,"(2r,4s)-2-[(1r)-1-{[(2z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",no_rxnorm_ingredient_evidence
160,"(2r,4s)-2-[(r)-benzylcarbamoyl-phenylacetyl-methyl]-5,5-dimethyl-thiazolidine-4-carboxylic acid",no_rxnorm_ingredient_evidence
161,"(2r,4s)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",no_rxnorm_ingredient_evidence
162,"(2r,4s,5r,6r)-5-acetamido-4-amino-6-(diethylcarbamoyl)oxane-2-carboxylic acid",no_rxnorm_ingredient_evidence
163,"(2r,6s)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",no_rxnorm_ingredient_evidence
164,(2s) n-acetyl-l-alanyl-αl-phenylalanyl-chloroethylketone,no_rxnorm_ingredient_evidence
165,"(2s)-({(5z)-5-[(5-ethyl-2-furyl)methylene]-4-oxo-4,5-dihydro-1,3-thiazol-2-yl}amino)(4-fluorophenyl)acetic acid",no_rxnorm_ingredient_evidence
166,"(2s)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile",no_rxnorm_ingredient_evidence
167,(2s)-1-(1h-indol-3-yl)-3-{[5-(3-methyl-1h-indazol-5-yl)pyridin-3-yl]oxy}propan-2-amine,no_rxnorm_ingredient_evidence
168,"(2s)-1-(2,5-dimethylphenoxy)-3-morpholin-4-ylpropan-2-ol",no_rxnorm_ingredient_evidence
169,(2s)-1-(3h-indol-3-yl)-3-{[5-(6-isoquinolinyl)-3-pyridinyl]oxy}-2-propanamine,no_rxnorm_ingredient_evidence
170,"(2s)-1-(6h-indol-3-yl)-3-{[5-(7h-pyrazolo[3,4-c]pyridin-5-yl)pyridin-3-yl]oxy}propan-2-amine",no_rxnorm_ingredient_evidence
171,"(2s)-1-(dimethylamino)-3-(4-{[4-(2-methylimidazo[1,2-a]pyridin-3-yl)-2-pyrimidinyl]amino}phenoxy)-2-propanol",no_rxnorm_ingredient_evidence
172,"(2s)-1-[(2s,4r)-4-benzyl-2-hydroxy-5-{[(1s,2r,5s)-2-hydroxy-5-methylcyclopentyl]amino}-5-oxopentyl]-4-{[6-chloro-5-(4-methyl-1-piperazinyl)-2-pyrazinyl]carbonyl}-n-(2-methyl-2-propanyl)-2-piperazineca rboxamide",no_rxnorm_ingredient_evidence
173,"(2s)-1-[4-({4-[(2,5-dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",no_rxnorm_ingredient_evidence
174,"(2s)-1-[4-({6-[(2,6-difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",no_rxnorm_ingredient_evidence
175,(2s)-1-amino-3-[(5-nitroquinolin-8-yl)amino]propan-2-ol,no_rxnorm_ingredient_evidence
176,"(2s)-1-methyl-2-[(2s,4r)-2-methyl-4-phenylpentyl]piperidine",no_rxnorm_ingredient_evidence
