legacy_regimen_id,legacy_anchor_drug_id,source_id,quarantine_reason
125,10266,1,drug_anchor_not_uniquely_validated
125,10266,7,drug_anchor_not_uniquely_validated
126,3438,7,drug_anchor_not_uniquely_validated
126,10266,7,drug_anchor_not_uniquely_validated
126,14122,7,drug_anchor_not_uniquely_validated
127,3729,7,drug_anchor_not_uniquely_validated
127,9253,7,drug_anchor_not_uniquely_validated
127,10266,7,drug_anchor_not_uniquely_validated
129,3729,7,drug_anchor_not_uniquely_validated
137,9253,1,drug_anchor_not_uniquely_validated
139,3414,7,drug_anchor_not_uniquely_validated
139,3438,7,drug_anchor_not_uniquely_validated
139,3729,7,drug_anchor_not_uniquely_validated
140,3414,7,drug_anchor_not_uniquely_validated
140,3438,7,drug_anchor_not_uniquely_validated
141,3477,1,drug_anchor_not_uniquely_validated
146,3438,1,drug_anchor_not_uniquely_validated
149,5385,1,drug_anchor_not_uniquely_validated
150,5385,1,drug_anchor_not_uniquely_validated
151,5385,1,drug_anchor_not_uniquely_validated
152,5385,1,drug_anchor_not_uniquely_validated
153,5385,1,drug_anchor_not_uniquely_validated
157,9253,1,drug_anchor_not_uniquely_validated
160,3729,1,drug_anchor_not_uniquely_validated
160,9253,1,drug_anchor_not_uniquely_validated
161,3729,1,drug_anchor_not_uniquely_validated
163,3438,1,drug_anchor_not_uniquely_validated
163,3477,1,drug_anchor_not_uniquely_validated
163,3729,1,drug_anchor_not_uniquely_validated
164,6002,1,drug_anchor_not_uniquely_validated
167,3438,1,drug_anchor_not_uniquely_validated
168,3438,1,drug_anchor_not_uniquely_validated
168,13255,1,drug_anchor_not_uniquely_validated
184,6340,1,drug_anchor_not_uniquely_validated
186,3438,1,drug_anchor_not_uniquely_validated
186,13255,1,drug_anchor_not_uniquely_validated
187,3438,7,drug_anchor_not_uniquely_validated
187,10266,7,drug_anchor_not_uniquely_validated
189,3729,7,drug_anchor_not_uniquely_validated
190,3438,1,drug_anchor_not_uniquely_validated
190,3438,7,drug_anchor_not_uniquely_validated
191,3438,7,drug_anchor_not_uniquely_validated
191,3477,7,drug_anchor_not_uniquely_validated
192,3438,7,drug_anchor_not_uniquely_validated
193,3438,7,drug_anchor_not_uniquely_validated
194,10266,1,drug_anchor_not_uniquely_validated
195,16228,1,drug_anchor_not_uniquely_validated
196,3438,7,drug_anchor_not_uniquely_validated
196,10266,7,drug_anchor_not_uniquely_validated
196,13255,7,drug_anchor_not_uniquely_validated
197,3477,1,drug_anchor_not_uniquely_validated
198,10266,7,drug_anchor_not_uniquely_validated
199,3438,7,drug_anchor_not_uniquely_validated
199,10266,7,drug_anchor_not_uniquely_validated
200,3438,7,drug_anchor_not_uniquely_validated
200,13255,7,drug_anchor_not_uniquely_validated
204,3438,1,drug_anchor_not_uniquely_validated
204,10266,1,drug_anchor_not_uniquely_validated
207,10266,1,drug_anchor_not_uniquely_validated
207,10266,7,drug_anchor_not_uniquely_validated
208,10266,1,drug_anchor_not_uniquely_validated
208,10266,7,drug_anchor_not_uniquely_validated
208,13255,1,drug_anchor_not_uniquely_validated
208,13255,7,drug_anchor_not_uniquely_validated
209,13255,7,drug_anchor_not_uniquely_validated
210,3477,1,drug_anchor_not_uniquely_validated
211,3729,1,drug_anchor_not_uniquely_validated
212,3438,1,drug_anchor_not_uniquely_validated
212,3438,7,drug_anchor_not_uniquely_validated
212,10266,1,drug_anchor_not_uniquely_validated
212,10266,7,drug_anchor_not_uniquely_validated
213,3438,1,drug_anchor_not_uniquely_validated
213,10266,1,drug_anchor_not_uniquely_validated
214,3729,1,drug_anchor_not_uniquely_validated
214,3729,7,drug_anchor_not_uniquely_validated
214,3890,1,drug_anchor_not_uniquely_validated
215,3729,1,drug_anchor_not_uniquely_validated
216,10266,1,drug_anchor_not_uniquely_validated
219,6850,1,drug_anchor_not_uniquely_validated
221,13255,7,drug_anchor_not_uniquely_validated
223,3477,1,drug_anchor_not_uniquely_validated
242,3890,1,drug_anchor_not_uniquely_validated
