legacy_anchor_drug_id,canonical_rxcui,canonical_name,canonical_tty,default_rule
9580,2525,chymopapain,IN,direct_anchor_exact_rxnorm
9582,2530,chymotrypsin,IN,direct_anchor_exact_rxnorm
9597,1367177,catechin,IN,unique_convergent_term_evidence
9601,21099,cifenline,IN,unique_convergent_term_evidence
9612,274964,ciclesonide,IN,direct_anchor_exact_rxnorm
9613,21914,cicletanine,IN,direct_anchor_exact_rxnorm
9614,21914,cicletanine,IN,direct_anchor_exact_rxnorm
9617,3002,cyclophosphamide,IN,unique_convergent_term_evidence
9621,21090,ciclopirox,IN,direct_anchor_exact_rxnorm
9622,21090,ciclopirox,IN,direct_anchor_exact_rxnorm
9631,21095,cicloxilic acid,IN,direct_anchor_exact_rxnorm
9638,83171,cidofovir,IN,direct_anchor_exact_rxnorm
9644,2477852,cifostodine,IN,direct_anchor_exact_rxnorm
9653,2540,cilastatin,IN,direct_anchor_exact_rxnorm
9654,2540,cilastatin,IN,direct_anchor_exact_rxnorm
9655,21102,cilazapril,IN,direct_anchor_exact_rxnorm
9658,2587306,cilgavimab,IN,direct_anchor_exact_rxnorm
9668,21107,cilostazol,IN,direct_anchor_exact_rxnorm
9676,2541,cimetidine,IN,direct_anchor_exact_rxnorm
9677,2541,cimetidine,IN,direct_anchor_exact_rxnorm
9682,407990,cinacalcet,IN,direct_anchor_exact_rxnorm
9683,407990,cinacalcet,IN,direct_anchor_exact_rxnorm
9686,21113,cinametic acid,IN,direct_anchor_exact_rxnorm
9693,3339,dibucaine,IN,unique_convergent_term_evidence
9710,21125,cinitapride,IN,direct_anchor_exact_rxnorm
9715,21130,cinnamedrine,IN,direct_anchor_exact_rxnorm
9716,21130,cinnamedrine,IN,direct_anchor_exact_rxnorm
9717,1368650,cinnamate,IN,direct_anchor_exact_rxnorm
9721,1309229,cinnamon oil,IN,direct_anchor_exact_rxnorm
9722,1362889,cinnamyl alcohol,IN,direct_anchor_exact_rxnorm
9723,2549,cinnarizine,IN,direct_anchor_exact_rxnorm
9730,2550,cinoxacin,IN,direct_anchor_exact_rxnorm
9731,288262,cinoxate,IN,direct_anchor_exact_rxnorm
9746,2667433,cipaglucosidase alfa,IN,direct_anchor_exact_rxnorm
9760,2551,ciprofloxacin,IN,direct_anchor_exact_rxnorm
9762,21149,ciprofibrate,IN,direct_anchor_exact_rxnorm
9763,2551,ciprofloxacin,IN,direct_anchor_exact_rxnorm
9795,35255,cisapride,IN,direct_anchor_exact_rxnorm
9796,35255,cisapride,IN,direct_anchor_exact_rxnorm
9797,319864,cisatracurium,IN,direct_anchor_exact_rxnorm
9798,319864,cisatracurium,IN,direct_anchor_exact_rxnorm
9807,2555,cisplatin,IN,direct_anchor_exact_rxnorm
9819,2556,citalopram,IN,direct_anchor_exact_rxnorm
9821,8686,prilocaine,IN,direct_anchor_exact_rxnorm
9831,997602,citicoline,IN,direct_anchor_exact_rxnorm
9832,997602,citicoline,IN,direct_anchor_exact_rxnorm
9833,21171,citiolone,IN,direct_anchor_exact_rxnorm
9839,1435288,citraconate,IN,direct_anchor_exact_rxnorm
9840,114200,citrate,IN,direct_anchor_exact_rxnorm
9841,21183,citric acid,IN,direct_anchor_exact_rxnorm
9843,1309376,citronella oil,IN,direct_anchor_exact_rxnorm
9844,2567,citrulline,IN,direct_anchor_exact_rxnorm
9845,1311573,citrus aurantium fruit extract,IN,unique_convergent_term_evidence
9846,5281,hesperidin,IN,unique_convergent_term_evidence
9847,1366324,citrus junos fruit extract,IN,unique_convergent_term_evidence
9848,581398,citrus pectin,IN,direct_anchor_exact_rxnorm
9849,897403,orange pollen extract,IN,unique_convergent_term_evidence
9864,44157,cladribine,IN,direct_anchor_exact_rxnorm
9880,2474340,clascoterone,IN,direct_anchor_exact_rxnorm
9884,48203,clavulanate,IN,direct_anchor_exact_rxnorm
9885,48203,clavulanate,IN,direct_anchor_exact_rxnorm
9893,21224,clebopride,IN,direct_anchor_exact_rxnorm
9898,2578,clemastine,IN,direct_anchor_exact_rxnorm
9899,1355831,clematis vitalba flower extract,IN,direct_anchor_exact_rxnorm
9906,21226,clemizolpenicillin,IN,direct_anchor_exact_rxnorm
9907,2580,clenbuterol,IN,direct_anchor_exact_rxnorm
9908,2580,clenbuterol,IN,direct_anchor_exact_rxnorm
9917,233603,clevidipine,IN,direct_anchor_exact_rxnorm
9918,233603,clevidipine,IN,direct_anchor_exact_rxnorm
9925,21232,clidinium,IN,direct_anchor_exact_rxnorm
9926,611854,chlordiazepoxide / clidinium,MIN,direct_anchor_exact_rxnorm
9932,191566,climbazole,IN,direct_anchor_exact_rxnorm
9936,2582,clindamycin,IN,direct_anchor_exact_rxnorm
9938,2582,clindamycin,IN,direct_anchor_exact_rxnorm
9945,5942,clioquinol,IN,direct_anchor_exact_rxnorm
9953,21241,clobazam,IN,direct_anchor_exact_rxnorm
9956,21244,clobenzorex,IN,direct_anchor_exact_rxnorm
9958,2590,clobetasol,IN,direct_anchor_exact_rxnorm
9959,2590,clobetasol,IN,direct_anchor_exact_rxnorm
9960,108074,clobetasone,IN,direct_anchor_exact_rxnorm
9961,108074,clobetasone,IN,direct_anchor_exact_rxnorm
9962,21247,clobutinol,IN,direct_anchor_exact_rxnorm
9967,402583,clocinizine,IN,direct_anchor_exact_rxnorm
9968,402583,clocinizine,IN,direct_anchor_exact_rxnorm
9969,21249,clocortolone,IN,direct_anchor_exact_rxnorm
9972,21249,clocortolone,IN,direct_anchor_exact_rxnorm
9984,3350,clodronic acid,IN,unique_convergent_term_evidence
9987,44151,clofarabine,IN,direct_anchor_exact_rxnorm
9988,2592,clofazimine,IN,direct_anchor_exact_rxnorm
9989,21254,chlophedianol,IN,unique_convergent_term_evidence
9998,21255,clofexamide,IN,direct_anchor_exact_rxnorm
10000,2594,clofibrate,IN,direct_anchor_exact_rxnorm
10007,21264,clofoctol,IN,direct_anchor_exact_rxnorm
10023,2596,clomiphene,IN,unique_convergent_term_evidence
10026,2597,clomipramine,IN,direct_anchor_exact_rxnorm
10027,21272,clomocycline,IN,direct_anchor_exact_rxnorm
10029,2598,clonazepam,IN,direct_anchor_exact_rxnorm
10033,2599,clonidine,IN,direct_anchor_exact_rxnorm
10036,2372697,clonitrate,IN,direct_anchor_exact_rxnorm
10038,2601,clonixin,IN,direct_anchor_exact_rxnorm
10042,2603,clopamide,IN,direct_anchor_exact_rxnorm
10044,2104180,cloperastine,IN,direct_anchor_exact_rxnorm
10045,2104180,cloperastine,IN,direct_anchor_exact_rxnorm
10049,32968,clopidogrel,IN,direct_anchor_exact_rxnorm
10050,1367179,clopidol,IN,direct_anchor_exact_rxnorm
10058,21285,cloprednol,IN,direct_anchor_exact_rxnorm
10059,2606,cloprostenol,IN,direct_anchor_exact_rxnorm
10060,2606,cloprostenol,IN,direct_anchor_exact_rxnorm
10066,2353,clorazepate,IN,direct_anchor_exact_rxnorm
10068,2353,clorazepate,IN,direct_anchor_exact_rxnorm
10082,21290,clorophene,IN,direct_anchor_exact_rxnorm
10088,28303,clorsulon,IN,direct_anchor_exact_rxnorm
10095,61686,clostebol,IN,direct_anchor_exact_rxnorm
10096,61686,clostebol,IN,direct_anchor_exact_rxnorm
10097,1811178,clostridium botulinum,IN,direct_anchor_exact_rxnorm
10107,798306,"tetanus toxoid vaccine, inactivated",IN,unique_convergent_term_evidence
10110,2620,clothiapine,IN,direct_anchor_exact_rxnorm
10113,2622,clotiazepam,IN,direct_anchor_exact_rxnorm
10119,899724,clove allergenic extract,IN,unique_convergent_term_evidence
10120,7624,clove oil,IN,direct_anchor_exact_rxnorm
10123,2625,cloxacillin,IN,direct_anchor_exact_rxnorm
10124,2625,cloxacillin,IN,direct_anchor_exact_rxnorm
10125,2625,cloxacillin,IN,direct_anchor_exact_rxnorm
10127,21311,cloxazolam,IN,direct_anchor_exact_rxnorm
10133,2626,clozapine,IN,direct_anchor_exact_rxnorm
10151,2697463,cnidium monnieri fruit extract,IN,unique_convergent_term_evidence
10169,4262,factor x,IN,direct_anchor_exact_rxnorm
10171,4254,factor vii,IN,unique_convergent_term_evidence
10175,2635,coal tar,IN,direct_anchor_exact_rxnorm
10179,1310300,cobalt,IN,direct_anchor_exact_rxnorm
10180,1426884,cobaltous chloride,IN,unique_convergent_term_evidence
10183,1546419,cobaltous cation,IN,direct_anchor_exact_rxnorm
10186,1362742,cobalt sulfate,IN,unique_convergent_term_evidence
10187,21373,cobamamide,IN,direct_anchor_exact_rxnorm
10189,1306284,cobicistat,IN,direct_anchor_exact_rxnorm
10190,1722365,cobimetinib,IN,direct_anchor_exact_rxnorm
10191,1722365,cobimetinib,IN,direct_anchor_exact_rxnorm
10202,2653,cocaine,IN,direct_anchor_exact_rxnorm
10203,2653,cocaine,IN,direct_anchor_exact_rxnorm
10204,1311576,cocamidopropyl betaine,IN,direct_anchor_exact_rxnorm
10205,10454,thiamine,IN,unique_convergent_term_evidence
10206,1549330,coccidioides immitis spherule,IN,direct_anchor_exact_rxnorm
10211,,,,ambiguous_legacy_anchor_evidence
10212,21389,cocoa butter,IN,direct_anchor_exact_rxnorm
10214,1309239,coconut oil,IN,direct_anchor_exact_rxnorm
10216,2669,cod liver oil,IN,direct_anchor_exact_rxnorm
10217,,,,ambiguous_legacy_anchor_evidence
10220,2670,codeine,IN,direct_anchor_exact_rxnorm
10229,1314344,coenzyme a,IN,direct_anchor_exact_rxnorm
10232,1546354,2-mercaptoethanesulfonic acid,IN,unique_convergent_term_evidence
10246,1541732,coix lacryma-jobi var. ma-yuen seed oil,IN,direct_anchor_exact_rxnorm
10251,82003,docusate,IN,direct_anchor_exact_rxnorm
10252,2174385,colchiceine,IN,direct_anchor_exact_rxnorm
10253,2683,colchicine,IN,direct_anchor_exact_rxnorm
10254,2683,colchicine,IN,direct_anchor_exact_rxnorm
10256,141626,colesevelam,IN,direct_anchor_exact_rxnorm
10258,2685,colestipol,IN,direct_anchor_exact_rxnorm
10263,107784,colfosceril,IN,direct_anchor_exact_rxnorm
10266,,,,ambiguous_legacy_anchor_evidence
10267,2709,colistin,IN,direct_anchor_exact_rxnorm
10268,2709,colistin,IN,direct_anchor_exact_rxnorm
10269,2709,colistin,IN,direct_anchor_exact_rxnorm
10280,898492,collagenase clostridium histolyticum,IN,direct_anchor_exact_rxnorm
10282,1339883,collinsonia extract,IN,direct_anchor_exact_rxnorm
10284,221082,colloidal oatmeal,IN,direct_anchor_exact_rxnorm
10293,2639782,glofitamab,IN,direct_anchor_exact_rxnorm
10302,214199,albuterol / ipratropium,MIN,direct_anchor_exact_rxnorm
10315,8704,prochlorperazine,IN,direct_anchor_exact_rxnorm
10319,1145801,emtricitabine / rilpivirine / tenofovir disoproxil,MIN,direct_anchor_exact_rxnorm
10328,8704,prochlorperazine,IN,direct_anchor_exact_rxnorm
10335,2708333,concizumab,IN,direct_anchor_exact_rxnorm
10337,1546420,condoliase,IN,direct_anchor_exact_rxnorm
10340,1599832,c1 esterase inhibitor,IN,unique_convergent_term_evidence
10342,1313334,coniine,IN,direct_anchor_exact_rxnorm
10345,302285,conivaptan,IN,direct_anchor_exact_rxnorm
10346,302285,conivaptan,IN,direct_anchor_exact_rxnorm
10361,1551467,bupropion / naltrexone,MIN,direct_anchor_exact_rxnorm
10366,2058509,duvelisib,IN,direct_anchor_exact_rxnorm
10369,2837,copper,IN,direct_anchor_exact_rxnorm
